Country,UGS
Finland,5.73
Iceland,5.47
Lithuania,5.46
New Zealand,5.33
Slovenia,5.32
Croatia,5.23
Montenegro,5.21
Italy,5.17
Slovakia,5.16
Estonia,5.15
United States,5.13
Latvia,5.05
Sweden,5
Switzerland,4.98
Norway ,4.97
Canada,4.96
Serbia,4.93
Poland,4.88
Germany,4.79
Hungary,4.78
Czech Republic,4.75
Portugal,4.72
Bulgaria,4.7
Australia,4.69
Netherlands,4.52
Luxenburg,4.49
Ireland,4.36
United Kingdom,4.28
Trinidad and Tobago,4.25
Uraguay,4.16
Spain,4.15
Russia,4.12
Belarus,4.12
Austria,4.11
Panama,4.06
Kazakhstan,4.06
Albania,4.06
Mauritius,3.94
Costa Rica,3.93
Belgium,3.91
Denmark,3.89
Romania,3.87
France,3.72
Malaysia,3.64
Argentina,3.33
Turkey,3.28
Greece,3.28
Malta,3.17
Chile,3.05
Japan,3.03
Iran,2.9
Singapore,2.87
South Korea,2.7
Israel,2.65
United Arab Emirates,2.23
Saudi Arabia,2.06
Oman,2.05
Kuwait,1.91
Qatar,1.23
Bahrain,0.54