London Borough,lb_name,borough_area_hectare,green_area_hectare,blue _area_hectare,green+blue_area_hectare,percent_green,percent_blue,percent_green+blue
Barking and Dagenham,E09000002,3779.93,1481.78,230.5,1712.28,39.2,6.1,45.3
Barnet,E09000003,8674.84,5030.91,60.01,5090.92,57.99,0.69,58.69
Bexley,E09000004,6428.65,2759.07,437.52,3196.59,42.92,6.81,49.72
Brent,E09000005,4323.27,1726.56,44.59,1771.15,39.94,1.03,40.97
Bromley,E09000006,15013.49,10262.64,56.96,10319.6,68.36,0.38,68.74
Camden,E09000007,2178.93,943.02,19.81,962.83,43.28,0.91,44.19
Croydon,E09000008,8649.44,4802.84,11.56,4814.4,55.53,0.13,55.66
Ealing,E09000009,5554.43,2441.65,52.21,2493.87,43.96,0.94,44.9
Enfield,E09000010,8220.02,4352.73,424.01,4776.74,52.95,5.16,58.11
Greenwich,E09000011,5044.19,2180.09,341.94,2522.03,43.22,6.78,50
Hackney,E09000012,1904.9,738.97,42.56,781.53,38.79,2.23,41.03
Hammersmith and Fulham,E09000013,1715.41,473.37,79.4,552.77,27.6,4.63,32.22
Haringey,E09000014,2959.84,1288.89,23.41,1312.29,43.55,0.79,44.34
Harrow,E09000015,5046.33,2796.61,23.88,2820.5,55.42,0.47,55.89
Havering,E09000016,11445.74,7551.97,401.81,7953.78,65.98,3.51,69.49
Hillingdon,E09000017,11570.06,6316.8,377.17,6693.97,54.6,3.26,57.86
Hounslow,E09000018,5658.54,2677.23,178.21,2855.44,47.31,3.15,50.46
Islington,E09000019,1485.67,518.14,3.95,522.09,34.88,0.27,35.14
Kensington and Chelsea,E09000020,1238.38,376.07,28.56,404.64,30.37,2.31,32.67
Kingston upon Thames,E09000021,3726.12,1953.41,39.28,1992.69,52.42,1.05,53.48
Lambeth,E09000022,2724.94,896.81,44.28,941.09,32.91,1.62,34.54
Lewisham,E09000023,3531.71,1421.51,28.39,1449.9,40.25,0.8,41.05
Merton,E09000024,3762.47,1835.36,31.92,1867.29,48.78,0.85,49.63
Newham,E09000025,3857.81,1182.08,365.05,1547.13,30.64,9.46,40.1
Redbridge,E09000026,5644.22,3023.23,79.78,3103.01,53.56,1.41,54.98
Richmond upon Thames,E09000027,5876.11,3642.68,307.94,3950.61,61.99,5.24,67.23
Southwark,E09000028,2991.34,1126.72,126.48,1253.19,37.67,4.23,41.89
Sutton,E09000029,4384.7,2178.83,54.78,2233.61,49.69,1.25,50.94
Tower Hamlets,E09000030,2157.5,547.61,253.56,801.16,25.38,11.75,37.13
Waltham Forest,E09000031,3880.79,1721.34,242.1,1963.44,44.36,6.24,50.59
Wandsworth,E09000032,3522.02,1373.92,112.57,1486.49,39.01,3.2,42.21
City of Westminster,E09000033,2203,687.28,97.18,784.46,31.2,4.41,35.61