,Country,UGS,GDP per Capita,Score,GDP Rank
26,Ireland,4.36,100172.0793,7.094,1
13,Switzerland,4.98,91991.60046,7.56,1
51,Singapore,2.87,72794.00302,6.377,1
10,United States,5.13,70248.629,6.94,1
1,Iceland,5.47,68727.63666,7.504,1
40,Denmark,3.89,68007.75667,7.646,1
12,Sweden,5,61028.73806,7.353,1
23,Australia,4.69,60443.10916,7.223,1
24,Netherlands,4.52,57767.87881,7.449,1
0,Finland,5.73,53654.7503,7.809,1
33,Austria,4.11,53637.70571,7.294,1
53,Israel,2.65,52170.71186,7.129,1
15,Canada,4.96,51987.93905,7.232,1
39,Belgium,3.91,51247.01435,6.864,1
18,Germany,4.79,51203.55447,7.076,1
3,New Zealand,5.33,48781.02663,7.3,1
27,United Kingdom,4.28,46510.28278,7.165,1
54,United Arab Emirates,2.23,44315.55418,6.791,1
42,France,3.72,43658.97898,6.664,1
49,Japan,3.03,39312.66037,5.871,1
7,Italy,5.17,35657.49756,6.387,1
47,Malta,3.17,33486.67198,6.773,1
30,Spain,4.15,30103.51373,6.401,1
4,Slovenia,5.32,29291.40062,6.363,1
9,Estonia,5.15,27943.70122,6.022,1
59,Bahrain,0.54,26562.96914,6.227,1
21,Portugal,4.72,24567.50927,5.911,1
57,Kuwait,1.91,24300.32944,6.102,1
2,Lithuania,5.46,23723.34025,6.215,1
55,Saudi Arabia,2.06,23185.87079,6.406,1
11,Latvia,5.05,21148.16294,5.95,1
46,Greece,3.28,20192.5963,5.515,1
19,Hungary,4.78,18728.12189,6,1
17,Poland,4.88,17999.90995,6.186,1
5,Croatia,5.23,17685.32528,5.505,1
48,Chile,3.05,16265.09598,6.228,1
28,Trinidad and Tobago,4.25,16032.50277,6.192,1
41,Romania,3.87,14858.22943,6.124,1
34,Panama,4.06,14617.60448,6.305,1
38,Costa Rica,3.93,12472.44373,7.121,1